Product Name,Price,Quantity Available,Specifications
Սիֆոն 2 տեղ մեծ գլխ սլիվով ANI PLAST A3045,9900,2,
Սիֆոն 1 տեղ C5510 ANI PLAST,1700,5,
Վաննայի սիֆոն ANI PLAST C6055,2750,2,
Կոնքամանի մուշտուկ ANI PLAST W9228,3200,5,
Սիֆոն 1 տեղ ANI PLAST C1015,2700,6,Չափսեր` - 310*94*73 մմ.
Սիֆոն 1 տեղ ANI PLAST BM1010,2250,8,Չափսեր` - 170*415*70 մմ.
Պապլավոկ տակից ունիվերսալ ANI PLAST WC5513,2600,3,
Կոնքամանի քաշիչ ANI PLAST WC7040M,2500,5,Չափսեր` - 330*100*100 մմ.
Կոնքամանի էքսցենտիկ կոշտ ANI PLAST W0421,2050,4,Չափսեր` - 124*141*148 մմ.
Սիֆոն փոքր լվացքի մեքենայի համար ANI PLAST M500,2850,2,Չափսեր` - 105*95*85 մմ.
Ատվոդ ուղիղ ծայրը ռեզին ANI PLAST W1238,2800,2,
Կոնքամանի բաչոկի հեղույսի ռեզին ANI PLAST M010,60,29,
Կոնքամանի կափարիչ ANI PLAST WS0100,3650,2,
Կոնքամանի գոֆռե ANI PLAST K711R,4500,2,Չափսեր` - 250*142*142 մմ.
Պրագլատկա կոնաձև ANI PLAST M032,100,54,Չափսեր` - Ø 38х9 մմ.
Սիֆոն 2 տեղ ANI PLAST A3515,4200,1,Չափսեր` - 595x360x93 մմ.
Կոնքամանի պռագլատկա գուպկա ANI PLAST M075,670,9,Չափսեր` - 110*110*16 մմ.
Կոնքամանի գոֆռե ANI PLAST K928,2600,2,Չափսեր` - 260*142*142 մմ.
Կոնքամանի մեխամիզմ ANI PLAST WC3550M,3950,2,Չափսեր` - 290*80*50 մմ.
Կոնքամանի մեխանիզմ ANI PLAST WC3050M,4500,3,Չափսեր` - 231*135*51 մմ.
Պրագլատկա կոնաձև ANI PLAST M040,120,28,Չափսեր` - Ø 44.5х8 մմ.
Կոնքամանի մեխանիզմ կողքից 3/8 ANI PLAST WC3070M,5250,2,Չափսեր` - 230х128х51 մմ.
Սիֆոն պիսուարի հորիզոնական ANI PLAST U0605,7200,1,
Սիֆոն պիսուարի ուղղահայաց ANI PLAST U0705,7200,1,
Պրագլատկա երկկողմանի ANI PLAST M080,350,4,Չափսեր` - Ø 74х18 մմ.
Կոնքամանի մեխանիզմ ANI PLAST WC6550M,3500,4,Չափսեր` - 290*80*50 մմ.
