Product Name,Price,Quantity Available,Specifications
Հարթաչափ ալյումինից 800մմ VOREL 16553,2750,2,"Երկարություն` - 800 մմ․, Չափիչ աչքերի քանակ` - 3 հատ"
Հարթաչափ ալյումինից 600մմ VOREL 16552,2400,1,"Երկարություն` - 600 մմ․, Չափիչ աչքերի քանակ` - 3 հատ"
Հարթաչափ ալյումինից 400մմ VOREL 16551,1750,3,"Երկարություն` - 400 մմ., Չափիչ աչքերի քանակ` - 3 հատ"
Հարթաչափ ալյումինից 2մ VOREL 16557,5850,1,"Երկարություն` - 2 մ․, Չափիչ աչքերի քանակ` - 3 հատ"
"Հարթաչափ ալյումինից 1,5մ VOREL 16556",4500,1,"Երկարություն` - 1,5 մ․, Չափիչ աչքերի քանակ` - 3 հատ"
Հարթաչափ ալյումինից 1մ VOREL 16554,3000,2,"Երկարություն` - 1 մ., Չափիչ աչքերի քանակ` - 3 հատ"
Հարթաչափ STAYER 3471-150,9800,2,"Երկարություն` - 1500 մմ․, Ճշգրտություն` - 0,5 մմ/մ․, Չափիչ աչքերի քանակ` - 3 հատ"
Հարթաչափ STAYER 3471-080,5700,2,"Երկարություն` - 800 մմ․, Ճշգրտություն` - 0,5 մմ/մ․, Չափիչ աչքերի քանակ` - 3 հատ"
Հարթաչափ STAYER 3471-060,6000,2,"Երկարություն` - 600 մմ․, Ճշգրտություն` - 0,5 մմ/մ․, Չափիչ աչքերի քանակ` - 3 հատ"
Հարթաչափ STAYER 3471-040,3950,2,"Երկարություն` - 400 մմ., Ճշգրտություն` - 0,5 մմ/մ․, Չափիչ աչքերի քանակ` - 3 հատ"
Հարթաչափ STAYER 3471-200,15900,1,"Երկարություն` - 2 մ․, Ճշգրտություն` - 0,5 մմ/մ․, Չափիչ աչքերի քանակ` - 3"
Հարթաչափ STAYER 10752-1.5,9700,1,"Երկարություն` - 1,5 մ․, Չափման կոլբաների քանակ` - 2, Բռնակների քանակ` - 2, Հումք` - ալյումին"
Հարթաչափ STAYER 3470-200,8150,1,"Երկարություն` - 2 մ․, Չափիչ կոլբաների քանակ` - 3, Ճշգրտություն` - 1 մմ/մ․"
Հարթաչափ STAYER 3470-060,4300,3,"Երկարություն` - 600 մմ․, Չափիչ կոլբաների քանակ` - 3, Ճշգրտություն` - 1 մմ/մ․"
"Ոտք լազերային հարթաչփի 3,7մ YATO YT-30500",37800,1,"Բարձրություն` - առավելագույնը 3700 մմ․, Մանեկի չափս` - 5/8"" (15,9 մմ) 18UNF"
Մետր մետաղական կորպուսով 5մ -19մմ KRAFTOOL 34129-5-19,8500,1,"Երկարություն` - 5 մ․, Լայնություն` - 19 մմ․, Ժապավենի հումք` - պողպատ, Նեյլոնե ծածկույթ` - այո, Կորպուս` - մետաղական"
Մետր 5մ -19մմ KRAFTOOL 3412-5-19,4400,18,"Երկարություն` - 5 մ․, Լայնություն` - 19 մմ․, Ժապավենի հումք` - պողպատ, Նեյլոնե ծածկույթ` - Այո, Մագնիսական կեռիկ` - Այո, Երկկողմանի նշագծված ժապավեն` - Այո"
Մետր 10մ -25մմ KRAFTOOL 3412-10-25,7900,13,"Երկարություն` - 10 մ․, Լայնություն` - 25 մմ․, Ժապավենի հումք` - պողպատ, Նեյլոնե ծածկույթ` - Այո, Մագնիսական կեռիկ` - Այո, Երկկողմանի նշագծված ժապավեն` - Այո"
Մետր 10մ -25մմ KRAFTOOL 34022-10-25,5500,23,"Երկարություն` - 10 մ․, Լայնություն` - 25 մմ․"
Մետր 8մ -25մմ KRAFTOOL 34022-08-25,4500,21,"Երկարություն` - 8 մ․, Լայնություն` - 25 մմ․, Ժապավենի հումք` - պողպատ, Նեյլոնե ծածկույթ` - Այո, Մագնիսական կեռիկ` - Այո"
Մետր 5մ -25մմ KRAFTOOL 34022-05-25,3400,20,"Երկարություն` - 5 մ․, Լայնություն` - 25 մմ․, Ժապավենի հումք` - պողպատ, Նեյլոնե ծածկույթ` - Այո, Մագնիսական կեռիկ` - Այո"
Մետր 5մ -19մմ KRAFTOOL 34022-05-19,2900,20,"Երկարություն` - 5 մ․, Լայնություն` - 19 մմ․, Ժապավենի հումք` - պողպատ, Նեյլոնե ծածկույթ` - Այո, Մագնիսական կեռիկ` - Այո"
Մետր 3մ -16մմ KRAFTOOL 34022-03-16,2100,18,"Երկարություն` - 3 մ․, Լայնություն` - 16 մմ․, Ժապավենի հումք` - պողպատ, Նեյլոնե ծածկույթ` - Այո, Մագնիսական կեռիկ` - Այո"
