Product Name,Price,Quantity Available,Specifications
Աթոռ ընթացագործի անիվներով և դարակներով YATO YT-08790,51000,1,"Չափսեր` - 530x470x360 մմ․, Դարակների քանակ` - 2 հատ, Անիվների քանակ` - 4 հատ (2 արգելակով), Առավելագույն ծանրաբեռնվածություն` - 150 կգ․"
Աթոռ ընթացագործի ակերով YATO YT-08791,28250,1,"Չափսեր` - 440 x 360 x 390 մմ․, Առավելագույն թույլատրելի քաշ` - 150 կգ., Ակերի քանակ` - 4 (պտտվող անիվներ)"
Սայլակ+աթոռ ակերով ծալովի ընթացագործի YATO YT-08802,21800,1,
Բարձր ճնշմամբ լվացող սարք՝ 2000վտ YATO YT-85915,83000,1,"Հզորություն` - 2000Վտ, Առավելագույն ճնշում` - 15ՄՊա, Առավելագույն ջերմություն` - 60 °C, Ջրի արտադրողականություն` - 6 լ/րոպե, Քաշ` - 8.2կգ"
Բարձր ճնշմամբ լվացող սարք՝ 1400վտ YATO YT-85910,48000,1,"Հզորություն` - 1400Վտ, Առավելագույն ճնշում` - 10.5 ՄՊա, Առավելագույն ջերմություն` - 60 °C, Ջրի արտադրողականություն` - 5 լ/րոպե, Քաշ` - 6.5կգ"
Սայլակ ընթացագործի ակերով YATO YT-0880,18350,1,"Երկարություն` - 1մ, Ակերի քանակ` - 6, Քաշ` - 6.2կգ, Բրենդ` - YATO"
Պոմպ բարձր ճնշման 1200վտ CROWN CT42025,49500,1,"Հզորություն` - 1200վտ, Արտադրողականություն` - 390լ/ժ, Խողովակի երկարություն` - 3մ, Առավելագույն ճնշում` - 58 բար"
"Բարձր ճնշմամբ լվացող սարք՝ 2000վտ, CROWN CT42024",105850,1,"Պոմպի նյութ` - մետաղական, Հզորություն` - 2000 Վտ․, Կատարում` - 406.8 լ/ժ, Առավելագույն աշխատանքային ճնշում` - 110 բար, Ջրի առավելագույն ճնշում` - 150 բար, Առավելագույն ջերմություն` - 60 °C, Շլանգի երկարություն` - 3 մ․, Լվացող միջոցների մատակարարում` - 0,4 լ/րոպե"
