Product Name,Price,Quantity Available,Specifications
Փչովի գրունտ էմալ ժանգի KUDO KU-2601,2600,7,"Ծավալ` - 520 մլ․ / ≈ 1,5 մ², Նախատեսված մակերևույթ` - Մետաղ"
Գրունտ ունիվերսալ սպիտակ KUDO KU-2104,1450,7,"Մակերես` - 2 քառ․ մետր, Բաղադրության հիմքը` - Ակրիլային, Ամբողջական չորացում` - 1,5 ժամ"
Գրունտ ունիվերսալ սև KUDO KU-2103,1350,4,"Մակերես` - 2 քառ․ մետր, Բաղադրության հիմքը` - Ակրիլային, Ամբողջական չորացում` - 1,5 ժամ"
Գրունտ ունիվերսալ սեռի KUDO KU-2101,1400,5,"Մակերես` - 2 քառ․ մետր, Բաղադրության հիմքը` - Ակրիլային, Ամբողջական չորացում` - 1,5 ժամ"
Գրունտ սեռի 1K KUDO KU-2201,1800,8,"Մակերես` - 2 քառ․ մետր, Բաղադրության հիմքը` - Ակրիլային"
Գրունտ ցինկի հավելումով KUDO KU-2301,2200,9,"Մակերես` - 2 քառ․ մետր, Բաղադրության հիմքը` - Ակրիլային"
Գրունտ պլասմասի թափանցիկ KUDO KU-6000,2000,3,"Մակերես` - 2 քառ․ մետր, Բաղադրության հիմքը` - Ակրիլային"
