Product Name,Price,Quantity Available,Specifications
"Լցահարթիչ էլաստիկ՝ 2կգ, CERESIT Սեռի CE 40/2",4500,6,
"Լցահարթիչ էլաստիկ՝ 2կգ, CERESIT Կարամել CE 40/2",4500,4,
"Լցահարթիչ էլաստիկ՝ 2կգ, CERESIT Ժասմին CE 40/2",4500,3,
"Լցահարթիչ էլաստիկ՝ 2կգ, CERESIT SEREBRISTIY SERI CE 40/2",4500,3,
"Լցահարթիչ էլաստիկ՝ 2կգ, CERESIT Manhettan CE 40/2",4500,3,
"Լցահարթիչ էլաստիկ` 2կգ, CERESIT Antracit CE 40/2",4500,3,
