Product Name,Price,Quantity Available,Specifications
Ինքնակպչուն պաստառ 90*15 D-c-fix 200-5565,1500,15,"Տեսակ` - ինքնակպչուն, Լայնություն` - 90 մմ․, Երկարություն` - 15 մ․"
Ինքնակպչուն պաստառ 90*15 D-c-fix 200-5001,1500,15,"Տեսակ` - ինքնակպչուն, Լայնություն` - 90 սմ․, Երկարություն` - 15 մ․"
Ինքնակպչուն պաստառ 90*15 D-c-fix 200-5145,1500,9.8,"Տեսակ` - ինքնակպչուն, Լայնություն` - 90 սմ․, Երկարություն` - 15 մ․"
Ինքնակպչուն պաստառ 200-5504 90*15 D-C-FIX,1500,11,"Տեսակ` - ինքնակպչուն, Երկարություն` - 90 սմ․, Լայնություն` - 15 մ․"
Ինքնակպչուն պաստառ 200-5277 90*15 D-C-FIX,1500,10.7,"Տեսակ` - ինքնակպչուն, Երկարություն` - 90 սմ․, Լայնություն` - 15 մ․"
Ինքնակպչուն պաստառ 200-5093 90*15 D-C-FIX,1500,9.9,"Տեսակ` - ինքնակպչուն, Երկարություն` - 90 սմ․, Լայնություն` - 15 մ․"
