Product Name,Price,Quantity Available,Specifications
Նախաշերտ խոնավամեկուսիչ 5լ/կոնցենտրատ/ Bitumast Antiseptic,5700,1,Ծավալ` - 5 լ․
Նախաներկ 5լ խորաթափանց Colortex,1400,6,Ծավալ` - 5 լ․
Նախաներկ 5լ RUMINIA CERESIT CT17/5,7100,5,Ծավալ` - 5 լ․
Նախաներկ 10լ RUMINIA CERESIT CT17/10,12200,4,Ծավալ` - 10 լ․
Նախաներկ 20լ MIX ACRYLAT,3990,10,Ծավալ` - 20 լ․
Նախաներկ 20կգ KRASAVA GF-021,16000,2,"Ծավալ` - 20 կգ․, Գույն` - մոխրագույն"
Նախաներկ 20կգ KRASAVA GF-021,16000,5,"Ծավալ` - 20 կգ․, Գույն` - կարմրաշականակագույն"
Ներկ սիլիկոնե 5լ Baytex Super,12500,1,Ծավալ` - 5 լ․
Ներկ սիլիկոնե 10լ Baytex Super,21000,1,Ծավալ` - 10 լ․
Նախաներկ կվարցային 7կգ BAYTEX,12000,1,Ծավալ` - 7 կգ․
"Նախաներկ կվարցային 4,2կգ BAYTEX",6750,1,"Ծավալ` - 4,2 կգ․"
Նախաներկ կվարցային 14կգ BAYTEX,23000,2,Ծավալ` - 14 կգ․
"Նախաներկ կվարցային 1,4կգ BAYTEX",2250,3,"Ծավալ` - 1,4 կգ․"
Նախաներկ ջրադիսպերսիոն 5լ BAYTEX,2500,14,Ծավալ` - 5 լ․
Նախաներկ ջրադիսպերսիոն 20լ BAYTEX,8000,6,Ծավալ` - 20 լ․
Նախաներկ ջրադիսպերսիոն 10լ BAYTEX,4500,3,Ծավալ` - 10 լ․
Ներկ լատեքսային L 3լ SHEN,6600,1,Ծավալ` - 3 լ․
Ներկ լատեքսային Լայթ D 10լ Շեն,8550,1,Ծավալ` - 10 լ․
Ներկ լատեքսային Լայթ D 15լ SHEN,13000,1,Ծավալ` - 15 լ․
Ներկ լատեքսային Լայթ D 5լ SHEN,5400,6,Ծավալ` - 5 լ․
Ներկ լատեքսային L1 5լ SHEN,8650,1,Ծավալ` - 5 լ․
Ակրիլային ջրաէմուլսիոն ներկ 7.5լ BETEK PLASTIC,12200,1,"Տեսակ` - ակրիլային, Ծավալ` - 7,5 լ․"
Ակրիլային ջրաէմուլսիոն ներկ 2.5լ BETEK PLASTIC,4600,1,"Տեսակ` - ակրիլային, Ծավալ` - 2,5 լ․"
Ակրիլային ջրաէմուլսիոն ներկ 15լ BETEK PLASTIC,21700,3,"Տեսակ` - ակրիլային, Ծավալ` - 15 լ․"
Ներկ ջրադիսպերսիոն 7.5լ BETEK Super PLUS,19750,4,"Ծավալ` - 7,5 լ․"
Ներկ ջրադիսպերսիոն 2.5լ BETEK Super PLUS,7250,5,"Ծավալ` - 2,5 լ․"
Ներկ ջրադիսպերսիոն 15լ BETEK Super PLUS,38500,4,Ծավալ` - 15 լ․
Ներկ լատեքսային15լ BETEK PLUS,36450,3,Ծավալ` - 15 լ․
Ներկ լատեքսային 7.5լ BETEK PLUS,18750,3,"Ծավալ` - 7,5 լ․"
Ներկ լատեքսային 2.5լ BETEK PLUS,6750,2,"Ծավալ` - 2,5 լ․"
"Ներկ լատեքսային 7,5լ BETEK SMART",12000,1,"Ծավալ` - 7,5 լ․"
"Ներկ լատեքսային 2,5լ BETEK SMART",4850,1,"Ծավալ` - 2,5 լ․"
Ներկ լատեքսային 15լ BETEK SMART,22650,3,Ծավալ` - 15 լ․
Նախաներկ 1լ MIKART Primer,1400,9,Ծավալ` - 1 լ․
Նախաներկ 1կգ MIKART,400,15,Ծավալ` - 1 կգ․
Նախաներկ 5կգ MIKART,1300,9,Ծավալ` - 5 կգ․
Նախաներկ 10կգ MIKART,2200,15,Ծավալ` - 10 կգ․
Նախաներկ 20կգ MIKART,3900,11,Ծավալ` - 20 կգ․
Ներկ լատեքս 1կգ ECO MIKART,900,8,Ծավալ` - 1 կգ․
Ներկ լատեքս 25կգ SUPERLATEX NATIONAL,15350,1,Ծավալ` - 25 կգ․
Ներկ ճակատային 5կգ MASTER MIX,5250,3,Ծավալ` - 5 կգ․
Ներկ ճակատային 3կգ MASTER MIX,3150,4,Ծավալ` - 3 կգ․
Ներկ ճակատային 25կգ MASTER MIX,20400,4,Ծավալ` - 25 կգ․
Ներկ ճակատային 1կգ MASTER MIX,1300,7,Ծավալ` - 1 կգ․
Ներկ ճակատային 12կգ MASTER MIX,10500,5,Ծավալ` - 12 կգ․
Ներկ լատեքս 7.5կգ MASTER MIX,5700,6,"Ծավալ` - 7,5 կգ․"
Ներկ լատեքս 5կգ MASTER MIX,4400,6,Ծավալ` - 5 կգ․
Ներկ լատեքս 25կգ MASTER MIX,17900,6,Ծավալ` - 25 կգ․
Ներկ լատեքս 1կգ MASTER MIX,1100,5,Ծավալ` - 1 կգ․
Ներկ լատեքս 17կգ MASTER MIX,12000,4,Ծավալ` - 17 կգ․
Ներկ լատեքս 12կգ MASTER MIX,8750,3,Ծավալ` - 12 կգ․
"Ներկ լատեքս սիլիկոնային 7,5լ PERMOLIT 05410",14800,11,"Ծավալ` - 7,5 լ․"
Ներկ լատեքս սիլիկոնային 15լ PERMOLIT,27900,11,Ծավալ` - 15 լ․
"Ներկ սիլիկոնային լատեքս 2,5լ PERMOLIT 3209",5300,5,"Ծավալ` - 2,5 լ․"
Ինքնակպչուն երկկողմանի ժապավեն (սկոչ) 19մմ-5մ VOREL 75100,750,7,"Երկարություն` - 5 մ․, Լայնություն` - 19 մմ․, Քանակ` - 2"
Բռնակ (սկոչի) ինքնակպչուն ժապավենի ZUBR 1201,3000,1,Սկոչի առավելագույն լայնություն` - 50 մմ.
Ներկի դույլ քառակ 12լ ZUBR 0609-12 z02,2750,4,"Ծավալ` - 12 լ․, Չափսեր` - 20 x 25 x 35 սմ․, Առավելագույն ծանրաբեռնվածություն` - 25 կգ․"
Ինքնակպչուն ժապավեն (սկոչ) 50մմ-25մ ZUBR 12249-50-25,1300,5,"Լայնություն` - 50 մմ., Երկարություն` - 25 մ․, Գույն` - դեղին / սև"
Ինքնակպչուն ժապավեն (սկոչ) 50մմ-25մ ZUBR 12243-50-25,950,7,"Լայնություն` - 50 մմ․, Երկարություն` - 25 մ․, Գույն` - դեղին"
